ID,Machine,SizeOfOptionalHeader,Characteristics,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SectionsNb,SectionsMeanEntropy,SectionsMinEntropy,SectionsMaxEntropy,SectionsMeanRawsize,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanVirtualsize,SectionsMinVirtualsize,SectionMaxVirtualsize,ImportsNbDLL,ImportsNb,ImportsNbOrdinal,ExportNb,ResourcesNb,ResourcesMeanEntropy,ResourcesMinEntropy,ResourcesMaxEntropy,ResourcesMeanSize,ResourcesMinSize,ResourcesMaxSize,LoadConfigurationSize,VersionInformationSize,legitimate
1,332,224,271,6,0,73728,212992,0,35111,4096,77824,4194304,4096,4096,4,0,0,0,4,0,290816,4096,1704253,2,0,1048576,4096,1048576,4096,0,16,4,0,0,0,0,0,0,0,0,0,7,184,1,0,25,0,0,0,7259.68,62,154530,0,0,1
2,332,224,271,6,0,476672,451072,0,353923,4096,483328,4194304,4096,512,4,0,0,0,5,0,962560,1024,43062785,2,32768,1048576,4096,1048576,4096,0,16,4,0,0,0,0,0,0,0,0,0,10,326,1,0,72,0,0,0,4506.625,20,82464,0,0,1
3,332,224,8962,2,55,202240,120832,17920,125765,4096,208896,268435456,4096,512,1,0,0,0,3,10,364544,1024,373353,2,0,1048576,4096,131072,4096,0,16,8,0,0,0,0,0,0,0,0,0,11,359,0,15,146,0,0,0,466.821917808219,20,2226,0,0,1
4,332,224,271,5,10,22016,10752,0,16271,4096,28672,4194304,4096,512,4,0,0,0,4,0,77824,1024,0,2,0,32000,4096,32000,4096,0,16,5,0,0,0,0,0,0,0,0,0,3,117,0,0,3,0,0,0,358,34,744,0,0,1
5,332,224,770,3,10,1536,9728,0,5168,4096,8192,26017792,4096,512,4,0,4,0,4,0,28672,1024,75648,3,0,1048576,4096,1048576,4096,0,16,5,0,0,0,0,0,0,0,0,0,4,30,0,0,2,0,0,0,970,812,1128,0,0,1
6,332,224,271,5,10,16384,107008,0,8976,4096,20480,4194304,4096,512,4,0,0,0,4,0,131072,1024,0,2,0,1048576,4096,1048576,4096,0,16,4,0,0,0,0,0,0,0,0,0,6,79,0,0,7,0,0,0,13009.1428571429,20,22344,0,0,1
7,332,224,270,4,20,17408,13312,0,13806,4096,24576,4194304,4096,512,4,0,0,0,4,0,49152,1024,0,2,0,32000,4096,32000,4096,0,16,6,0,0,0,0,0,0,0,0,0,5,95,0,0,3,0,0,0,259.333333333333,0,744,0,0,1
8,332,224,271,5,10,18944,10752,0,14808,4096,24576,4194304,4096,512,4,0,0,0,4,0,14233600,1024,0,2,0,32000,4096,32000,4096,0,16,5,0,0,0,0,0,0,0,0,0,5,98,0,0,3,0,0,0,259.333333333333,0,744,0,0,1
9,332,224,271,6,0,20480,40960,0,14640,4096,24576,4194304,4096,4096,4,0,0,0,4,0,3907584,4096,0,2,0,32000,4096,32000,4096,0,16,5,0,0,0,0,0,0,0,0,0,6,99,1,0,11,0,0,0,2361.27272727273,132,9640,0,0,1
10,332,224,271,7,0,24576,45056,0,16438,4096,28672,4194304,4096,4096,4,0,0,0,4,0,73728,4096,0,2,0,32000,4096,32000,4096,0,16,4,0,0,0,0,0,0,0,0,0,6,109,1,0,11,0,0,0,2358.90909090909,132,9640,0,0,1
11,332,224,259,8,0,61440,61440,0,32440,4096,65536,4194304,4096,4096,4,0,0,0,4,0,14864384,4096,14911472,2,0,32000,4096,32000,4096,0,16,5,0,0,0,0,0,0,0,0,0,5,177,1,0,21,0,0,0,1786.7619047619,110,9640,72,0,1
12,332,224,270,4,20,14848,12288,0,11415,4096,20480,4194304,4096,512,4,0,0,0,4,0,2727936,1024,2714612,2,0,32000,4096,32000,4096,0,16,7,0,0,0,0,0,0,0,0,0,3,85,0,0,3,0,0,0,259.333333333333,0,744,0,0,1
13,332,224,271,6,0,73728,212992,0,35111,4096,77824,4194304,4096,4096,4,0,0,0,4,0,290816,4096,19825584,2,0,1048576,4096,1048576,4096,0,16,4,0,0,0,0,0,0,0,0,0,7,184,1,0,25,0,0,0,7259.68,62,154530,0,0,1
14,332,224,271,6,0,77824,139264,0,60850,4096,81920,4194304,4096,4096,4,0,0,0,4,0,221184,4096,1885265,2,0,1048576,4096,1048576,4096,0,16,4,0,0,0,0,0,0,0,0,0,7,197,0,0,28,0,0,0,261.5,20,744,0,0,1
15,332,224,8462,6,0,0,122880,0,0,4096,4096,268435456,4096,4096,4,0,0,0,4,0,126976,4096,0,2,0,1048576,4096,1048576,4096,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,769.098591549296,44,2590,0,0,1
16,332,224,271,6,0,61440,53248,0,41132,4096,65536,4194304,4096,4096,4,0,0,0,4,0,118784,4096,1400961,2,0,1048576,4096,1048576,4096,0,16,4,0,0,0,0,0,0,0,0,0,4,106,0,0,20,0,0,0,484.8,16,2216,0,0,1
17,332,224,270,4,20,14848,12288,0,11410,4096,20480,4194304,4096,512,4,0,0,0,4,0,2535424,1024,0,2,0,32000,4096,32000,4096,0,16,7,0,0,0,0,0,0,0,0,0,3,85,0,0,3,0,0,0,358,34,744,0,0,1
18,332,224,8450,8,0,26112,5632,0,26477,4096,32768,1051197440,4096,512,6,0,6,0,5,0,45056,1024,54522,3,0,262144,4096,1048576,4096,0,16,4,0,0,0,0,0,0,0,0,0,3,45,0,22,1,0,0,0,900,900,900,72,0,1
19,332,224,271,6,0,73728,212992,0,35111,4096,77824,4194304,4096,4096,4,0,0,0,4,0,290816,4096,537346,2,0,1048576,4096,1048576,4096,0,16,4,0,0,0,0,0,0,0,0,0,7,184,1,0,25,0,0,0,7259.68,62,154530,0,0,1
20,332,224,271,6,0,73728,212992,0,35111,4096,77824,4194304,4096,4096,4,0,0,0,4,0,290816,4096,1514189,2,0,1048576,4096,1048576,4096,0,16,4,0,0,0,0,0,0,0,0,0,7,184,1,0,25,0,0,0,7259.68,62,154530,0,0,1
21,332,224,8462,6,0,61440,167936,0,32102,4096,65536,268435456,4096,4096,4,0,0,0,4,0,233472,4096,0,2,0,1048576,4096,1048576,4096,0,16,5,0,0,0,0,0,0,0,0,0,7,144,0,2,54,0,0,0,2400.48148148148,20,87260,0,0,1
22,332,224,8462,6,0,36864,45056,0,19331,4096,40960,2142240768,4096,4096,4,0,5,0,4,0,86016,4096,0,2,0,1048576,4096,1048576,4096,0,16,5,0,0,0,0,0,0,0,0,0,3,78,0,14,19,0,0,0,1068.73684210526,406,1610,0,0,1
23,332,224,8462,6,0,0,57344,0,0,4096,4096,268435456,4096,4096,4,0,0,0,4,0,61440,4096,0,2,0,1048576,4096,1048576,4096,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,726.805970149254,11,7524,0,0,1
24,332,224,270,5,12,64288,59616,0,100624,928,44992,65536,32,32,5,0,5,0,5,0,124832,928,149000,1,0,262144,4096,1048576,4096,0,16,12,0,0,0,0,0,0,0,0,0,3,51,0,0,1,0,0,0,852,852,852,0,0,1
25,332,224,271,7,10,30208,3584,0,14935,4096,36864,16777216,4096,512,5,1,5,1,4,0,40960,1024,83406,2,32768,262144,8192,1048576,4096,0,16,2,0,0,0,0,0,0,0,0,0,4,92,0,0,0,0,0,0,0,0,0,72,0,1
26,332,224,270,3,0,75264,141824,0,65536,4096,81920,4194304,4096,512,4,0,0,0,4,0,237568,1024,315479,2,0,1048576,4096,1048576,4096,0,16,6,0,0,0,0,0,0,0,0,0,7,182,0,0,28,0,0,0,283.5,20,928,0,0,1
